nn.dist,group,category
172.22892846441323,C3-on-C4,ODD-on-EVEN
134.18044007976752,C3-on-C4,ODD-on-EVEN
154.76640979230558,C3-on-C4,ODD-on-EVEN
152.77412117240323,C3-on-C4,ODD-on-EVEN
116.69432976798832,C3-on-C4,ODD-on-EVEN
162.99615946395863,C3-on-C4,ODD-on-EVEN
148.53036625552352,C3-on-C4,ODD-on-EVEN
157.23105450260132,C3-on-C4,ODD-on-EVEN
169.201282501049,C3-on-C4,ODD-on-EVEN
191.38664974339238,C3-on-C4,ODD-on-EVEN
150.4682471486923,C3-on-C4,ODD-on-EVEN
127.42529301516223,C3-on-C4,ODD-on-EVEN
164.28366108654802,C3-on-C4,ODD-on-EVEN
103.72473186275293,C3-on-C4,ODD-on-EVEN
122.08379458388339,C3-on-C4,ODD-on-EVEN
170.8253055024343,C3-on-C4,ODD-on-EVEN
146.59145302506482,C3-on-C4,ODD-on-EVEN
137.29844682297002,C3-on-C4,ODD-on-EVEN
100.03314500704265,C3-on-C4,ODD-on-EVEN
168.08671214584476,C3-on-C4,ODD-on-EVEN
124.94529202815164,C3-on-C4,ODD-on-EVEN
127.36896089707385,C3-on-C4,ODD-on-EVEN
158.76211386851685,C3-on-C4,ODD-on-EVEN
123.61891643271944,C3-on-C4,ODD-on-EVEN
135.80909247911276,C3-on-C4,ODD-on-EVEN
141.6725245063417,C3-on-C4,ODD-on-EVEN
803.8171583140033,C3-on-C4,ODD-on-EVEN
171.26515290624673,C3-on-C4,ODD-on-EVEN
147.15041861985972,C3-on-C4,ODD-on-EVEN
116.20518318904764,C3-on-C4,ODD-on-EVEN
152.89885480277403,C3-on-C4,ODD-on-EVEN
147.32871851747018,C3-on-C4,ODD-on-EVEN
127.54905605295635,C3-on-C4,ODD-on-EVEN
110.05973150975773,C3-on-C4,ODD-on-EVEN
97.20733717163549,C3-on-C4,ODD-on-EVEN
123.27984141780958,C3-on-C4,ODD-on-EVEN
140.10977446274143,C3-on-C4,ODD-on-EVEN
132.47513917713027,C3-on-C4,ODD-on-EVEN
130.6233524298016,C3-on-C4,ODD-on-EVEN
151.77422837886564,C3-on-C4,ODD-on-EVEN
123.0934482415699,C3-on-C4,ODD-on-EVEN
114.59134565925999,C3-on-C4,ODD-on-EVEN
161.30389641915062,C3-on-C4,ODD-on-EVEN
114.56005717526467,C3-on-C4,ODD-on-EVEN
126.88329046805158,C3-on-C4,ODD-on-EVEN
116.58056270236361,C3-on-C4,ODD-on-EVEN
128.6435594967743,C3-on-C4,ODD-on-EVEN
117.61522690536373,C3-on-C4,ODD-on-EVEN
165.39225012073572,C3-on-C4,ODD-on-EVEN
134.84807859216914,C3-on-C4,ODD-on-EVEN
121.30880470930411,C3-on-C4,ODD-on-EVEN
145.3826213823371,C3-on-C4,ODD-on-EVEN
128.6638690542143,C3-on-C4,ODD-on-EVEN
140.7291480113484,C3-on-C4,ODD-on-EVEN
131.76311813250285,C3-on-C4,ODD-on-EVEN
155.17480626699657,C3-on-C4,ODD-on-EVEN
139.45334883035252,C3-on-C4,ODD-on-EVEN
125.47853083296653,C3-on-C4,ODD-on-EVEN
202.481021826738,C3-on-C4,ODD-on-EVEN
116.54038999419922,C3-on-C4,ODD-on-EVEN
155.85181583799374,C3-on-C4,ODD-on-EVEN
111.13640267707068,C3-on-C4,ODD-on-EVEN
173.7782345404623,C3-on-C4,ODD-on-EVEN
109.63775490222342,C3-on-C4,ODD-on-EVEN
176.3000363017555,C3-on-C4,ODD-on-EVEN
153.52533667118357,C3-on-C4,ODD-on-EVEN
139.76616972643998,C3-on-C4,ODD-on-EVEN
133.18834558624047,C3-on-C4,ODD-on-EVEN
135.08480632550825,C3-on-C4,ODD-on-EVEN
111.58679178110597,C3-on-C4,ODD-on-EVEN
147.97831327596612,C3-on-C4,ODD-on-EVEN
142.50504727903504,C3-on-C4,ODD-on-EVEN
141.28594586865313,C3-on-C4,ODD-on-EVEN
125.53411369026362,C3-on-C4,ODD-on-EVEN
110.12077823916795,C3-on-C4,ODD-on-EVEN
145.81606667305243,C3-on-C4,ODD-on-EVEN
150.4480259092813,C3-on-C4,ODD-on-EVEN
139.96150685099107,C3-on-C4,ODD-on-EVEN
158.36206774351024,C3-on-C4,ODD-on-EVEN
121.6824149168632,C3-on-C4,ODD-on-EVEN
148.47690763213086,C3-on-C4,ODD-on-EVEN
200.37243148696862,C3-on-C4,ODD-on-EVEN
122.45675889880475,C3-on-C4,ODD-on-EVEN
134.3128262676339,C3-on-C4,ODD-on-EVEN
147.35189343880174,C3-on-C4,ODD-on-EVEN
123.50523106330323,C3-on-C4,ODD-on-EVEN
187.87993852458047,C3-on-C4,ODD-on-EVEN
119.72638347498894,C3-on-C4,ODD-on-EVEN
137.76137702563844,C3-on-C4,ODD-on-EVEN
121.90678570120734,C3-on-C4,ODD-on-EVEN
