cell_id,Area,Channel,IntDen,RawIntDen,time,condition,repeat_exp,mock_bg_den,sub_RawIntDen,sm_mean_int,RNA_count,ImgeJ_cal_factor
CoV-FISH-06B_R1_24h_INF_00001_36,643.216,ORFN,1102668.348,94797648,24,Untreated,R1,11068.976472595466,87677905.22920303,5448.466666666666,563227.5777323479,35
CoV-FISH-06B_R1_24h_INF_00001_38,620.359,ORFN,164430.378,14136266,24,Untreated,R1,11068.976472595466,7269526.824437149,5448.466666666666,46698.17297624412,35
CoV-FISH-06B_R1_24h_INF_00001_40,936.198,ORFN,187568.819,16125504,24,Untreated,R1,11068.976472595466,5762750.364309071,5448.466666666666,37018.90368253163,35
CoV-FISH-06B_R1_24h_INF_00001_42,760.709,ORFN,580947.835,49944744,24,Untreated,R1,11068.976472595466,41524473.97650838,5448.466666666666,266745.9815931932,35
CoV-FISH-06B_R1_24h_INF_00001_44,325.202,ORFN,88706.891,7626232,24,Untreated,R1,11068.976472595466,4026578.71315901,5448.466666666666,25866.039673651063,35
CoV-FISH-06B_R1_24h_INF_00002_1,217.038,gRNA,641625.341,55161258,24,Untreated,R1,14383.340982982052,52039526.43973554,5186.933333333333,351148.4162878664,35
CoV-FISH-06B_R1_24h_INF_00002_3,551.732,gRNA,1229912.186,105736945,24,Untreated,R1,14383.340982982052,97801195.51277734,5186.933333333333,659935.577145238,35
CoV-FISH-06B_R1_24h_INF_00002_7,271.963,gRNA,1159403.67,99675248,24,Untreated,R1,14383.340982982052,95763511.43624523,5186.933333333333,646185.8452525416,35
CoV-FISH-06B_R1_24h_INF_00002_13,476.206,gRNA,134529.085,11565618,24,Untreated,R1,14383.340982982052,4716184.723858048,5186.933333333333,31823.517814321567,35
CoV-FISH-06B_R1_24h_INF_00002_15,1001.685,gRNA,1788019.924,153718100,24,Untreated,R1,14383.340982982052,139310523.08746162,5186.933333333333,940029.1067415216,35
