File,ID,time,strain,condition,repeat_exp,total_vRNAs_ORFN,total_vRNAs_gRNA,cytosolic_RNAs_ORFN,cytosolic_RNAs_gRNA,repSites_ORFN,repSites_gRNA,mol_per_repSite_ORFN,mol_per_repSite_gRNA,content,category,total_vRNAs_sgRNA,ratio
CoV-FISH-10_Vero_2h_B117_RDV_R1_00003__results_cell_1.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,70,46.2,64,45,3,1,2,1.2,1.2,Low,23.799999999999997,0.515151515151515
CoV-FISH-10_Vero_2h_B117_RDV_R1_00003__results_cell_5.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,15,10.2,11,9,2,1,2,1.2,1.2,Low,4.800000000000001,0.47058823529411775
CoV-FISH-10_Vero_2h_B117_RDV_R1_00005__results_cell_1.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,88,50.4,65,48,10,2,2.3,1.2,2.4,Low,37.6,0.746031746031746
CoV-FISH-10_Vero_2h_B117_RDV_R1_00006__results_cell_2.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,105,119.8,71,115,13,4,2.6153846153846154,1.2,4.8,Mid,-14.799999999999997,-0.12353923205342235
CoV-FISH-10_Vero_2h_B117_RDV_R1_00006__results_cell_4.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,26,22.2,22,21,2,1,2,1.2,1.2,Low,3.8000000000000007,0.1711711711711712
CoV-FISH-10_Vero_2h_B117_RDV_R1_00006__results_cell_5.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,107,76.4,83,74,10,2,2.4,1.2,2.4,Low,30.599999999999994,0.400523560209424
CoV-FISH-10_Vero_2h_B117_RDV_R1_00007__results_cell_0.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,155,58.6,104,55,9,3,5.666666666666667,1.2,3.5999999999999996,Low,96.4,1.6450511945392492
CoV-FISH-10_Vero_2h_B117_RDV_R1_00007__results_cell_2.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,33.6,33.6,29.6,30,2,3,2,1.2,3.5999999999999996,Low,0,0
CoV-FISH-10_Vero_2h_B117_RDV_R1_00007__results_cell_3.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,16,7.2,11,6,1,1,5,1.2,1.2,Low,8.8,1.2222222222222223
CoV-FISH-10_Vero_2h_B117_RDV_R1_00007__results_cell_4.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,79,51.8,62,47,8,4,2.125,1.2,4.8,Low,27.200000000000003,0.5250965250965252
CoV-FISH-10_Vero_2h_B117_RDV_R1_00007__results_cell_7.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,78,65.6,61,61.99999999999999,8,3,2.125,1.2,3.5999999999999996,Low,12.400000000000006,0.18902439024390255
CoV-FISH-10_Vero_2h_B117_RDV_R1_00008__results_cell_7.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,93,48.4,69,46,9,2,2.6666666666666665,1.2,2.4,Low,44.6,0.9214876033057852
CoV-FISH-10_Vero_2h_B117_RDV_R1_00008__results_cell_8.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,55,50.4,51,48,2,2,2,1.2,2.4,Low,4.600000000000001,0.0912698412698413
CoV-FISH-10_Vero_2h_B117_RDV_R1_00009__results_cell_1.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,87,48.4,72,46,4,2,3.75,1.2,2.4,Low,38.6,0.7975206611570248
CoV-FISH-10_Vero_2h_B117_RDV_R1_00009__results_cell_2.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,48,29.2,36,28,6,1,2,1.2,1.2,Low,18.8,0.6438356164383562
CoV-FISH-10_Vero_2h_B117_RDV_R1_00010__results_cell_2.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,87,69.6,73,66,6,3,2.3333333333333335,1.2,3.5999999999999996,Low,17.400000000000006,0.2500000000000001
CoV-FISH-10_Vero_2h_B117_RDV_R1_00011__results_cell_0.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,63,23.2,51,22,5,1,2.4,1.2,1.2,Low,39.8,1.7155172413793103
CoV-FISH-10_Vero_2h_B117_RDV_R1_00012__results_cell_0.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,127,113.8,84,109,15,4,2.8666666666666667,1.2,4.8,Mid,13.200000000000003,0.11599297012302287
CoV-FISH-10_Vero_2h_B117_RDV_R1_00012__results_cell_4.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,21,17.4,17,14.999999999999998,2,2,2,1.2,2.4,Low,3.6000000000000014,0.20689655172413804
CoV-FISH-10_Vero_2h_B117_RDV_R2_00001__results_cell_0.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,241,74,151,68,27,5,3.3333333333333335,1.2,6,Low,167,2.2567567567567566
CoV-FISH-10_Vero_2h_B117_RDV_R2_00004__results_cell_2.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,122,50.8,85,46,14,4,2.642857142857143,1.2,4.8,Low,71.2,1.4015748031496065
CoV-FISH-10_Vero_2h_B117_RDV_R2_00004__results_cell_4.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,16,13.2,12,12,2,1,2,1.2,1.2,Low,2.8000000000000007,0.21212121212121218
CoV-FISH-10_Vero_2h_B117_RDV_R2_00005__results_cell_0.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,186,78.4,134,76,18,2,2.888888888888889,1.2,2.4,Low,107.6,1.3724489795918366
CoV-FISH-10_Vero_2h_B117_RDV_R2_00006__results_cell_2.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,180,89.6,138,86,12,3,3.5,1.2,3.5999999999999996,Low,90.4,1.0089285714285716
CoV-FISH-10_Vero_2h_B117_RDV_R2_00006__results_cell_4.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,12,6.2,9,5,1,1,3,1.2,1.2,Low,5.8,0.9354838709677419
CoV-FISH-10_Vero_2h_B117_RDV_R2_00008__results_cell_1.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,113,70.6,99,67,7,3,2,1.2,3.5999999999999996,Low,42.400000000000006,0.6005665722379605
CoV-FISH-10_Vero_2h_B117_RDV_R2_00009__results_cell_0.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,68,33.4,51,31,6,2,2.8333333333333335,1.2,2.4,Low,34.6,1.035928143712575
CoV-FISH-10_Vero_2h_B117_RDV_R2_00009__results_cell_1.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,108,40.2,76,39,8,1,4,1.2,1.2,Low,67.8,1.6865671641791042
CoV-FISH-10_Vero_2h_B117_RDV_R2_00009__results_cell_4.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,154,50.4,105,48,14,2,3.5,1.2,2.4,Low,103.6,2.0555555555555554
CoV-FISH-10_Vero_2h_B117_RDV_R2_00009__results_cell_9.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,90,43.4,70,41,5,2,4,1.2,2.4,Low,46.6,1.0737327188940093
CoV-FISH-10_Vero_2h_B117_RDV_R2_00010__results_cell_1.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,153,54.2,118,53,14,1,2.5,1.2,1.2,Low,98.8,1.8228782287822878
CoV-FISH-10_Vero_2h_B117_RDV_R2_00010__results_cell_4.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,34,24.2,32,23,1,1,2,1.2,1.2,Low,9.8,0.40495867768595045
CoV-FISH-10_Vero_2h_B117_RDV_R2_00010__results_cell_5.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,119,51.6,82,48,5,3,7.4,1.2,3.5999999999999996,Low,67.4,1.306201550387597
CoV-FISH-10_Vero_2h_B117_RDV_R2_00010__results_cell_6.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,77,47.4,59,45,8,2,2.25,1.2,2.4,Low,29.6,0.6244725738396625
CoV-FISH-10_Vero_2h_B117_RDV_R2_00010__results_cell_7.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,224,35.4,131,33,14,2,6.642857142857143,1.2,2.4,Low,188.6,5.327683615819209
CoV-FISH-10_Vero_2h_B117_RDV_R3_00001__results_cell_1.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,39,17.2,33,16,3,1,2,1.2,1.2,Low,21.8,1.2674418604651163
CoV-FISH-10_Vero_2h_B117_RDV_R3_00001__results_cell_3.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,35,28.2,28,27,3,1,2.3333333333333335,1.2,1.2,Low,6.800000000000001,0.2411347517730497
CoV-FISH-10_Vero_2h_B117_RDV_R3_00001__results_cell_4.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,48,39.4,43,37,2,2,2.5,1.2,2.4,Low,8.600000000000001,0.21827411167512695
CoV-FISH-10_Vero_2h_B117_RDV_R3_00001__results_cell_5.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,16,14.2,16,13,0,1,NA,1.2,1.2,Low,1.8000000000000007,0.12676056338028174
CoV-FISH-10_Vero_2h_B117_RDV_R3_00001__results_cell_6.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,46,35.4,34,33,6,2,2,1.2,2.4,Low,10.600000000000001,0.29943502824858764
CoV-FISH-10_Vero_2h_B117_RDV_R3_00002__results_cell_0.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,21,6.2,13,5,2,1,4,1.2,1.2,Low,14.8,2.3870967741935485
CoV-FISH-10_Vero_2h_B117_RDV_R3_00003__results_cell_0.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,17,11.2,14,10,1,1,3,1.2,1.2,Low,5.800000000000001,0.5178571428571429
CoV-FISH-10_Vero_2h_B117_RDV_R3_00003__results_cell_1.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,20,7.2,20,6,0,1,NA,1.2,1.2,Low,12.8,1.777777777777778
CoV-FISH-10_Vero_2h_B117_RDV_R3_00003__results_cell_2.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,16,11.2,16,10,0,1,NA,1.2,1.2,Low,4.800000000000001,0.42857142857142866
CoV-FISH-10_Vero_2h_B117_RDV_R3_00003__results_cell_3.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,65,21.2,39,20,5,1,5.2,1.2,1.2,Low,43.8,2.0660377358490565
CoV-FISH-10_Vero_2h_B117_RDV_R3_00003__results_cell_4.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,24.2,24.2,22.2,23,1,1,2,1.2,1.2,Low,0,0
CoV-FISH-10_Vero_2h_B117_RDV_R3_00003__results_cell_5.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,19,7.2,15,6,2,1,2,1.2,1.2,Low,11.8,1.6388888888888888
CoV-FISH-10_Vero_2h_B117_RDV_R3_00005__results_cell_0.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,22,8.2,18,6.999999999999999,1,1,4,1.2,1.2,Low,13.8,1.6829268292682928
CoV-FISH-10_Vero_2h_B117_RDV_R3_00005__results_cell_3.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,33,21.2,25,20,4,1,2,1.2,1.2,Low,11.8,0.5566037735849058
CoV-FISH-10_Vero_2h_B117_RDV_R3_00005__results_cell_4.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,33,19.4,27,17,3,2,2,1.2,2.4,Low,13.600000000000001,0.7010309278350517
CoV-FISH-10_Vero_2h_B117_RDV_R3_00005__results_cell_5.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,20,13.4,16,11,2,2,2,1.2,2.4,Low,6.6,0.4925373134328358
CoV-FISH-10_Vero_2h_B117_RDV_R3_00005__results_cell_7.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,19,16.2,17,15,1,1,2,1.2,1.2,Low,2.8000000000000007,0.17283950617283955
CoV-FISH-10_Vero_2h_B117_RDV_R3_00005__results_cell_8.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,12.2,12.2,12.2,11,0,1,NA,1.2,1.2,Low,0,0
CoV-FISH-10_Vero_2h_B117_RDV_R3_00006__results_cell_0.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,71,22.2,51,21,5,1,4,1.2,1.2,Low,48.8,2.198198198198198
CoV-FISH-10_Vero_2h_B117_RDV_R3_00006__results_cell_2.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,36,19.4,24,17,4,2,3,1.2,2.4,Low,16.6,0.8556701030927837
CoV-FISH-10_Vero_2h_B117_RDV_R3_00006__results_cell_4.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,41,16.2,27,15,3,1,4.666666666666667,1.2,1.2,Low,24.8,1.5308641975308643
CoV-FISH-10_Vero_2h_B117_RDV_R3_00007__results_cell_0.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,39,19.2,31,18,4,1,2,1.2,1.2,Low,19.8,1.03125
CoV-FISH-10_Vero_2h_B117_RDV_R3_00007__results_cell_1.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,60,34.4,47,32,6,2,2.1666666666666665,1.2,2.4,Low,25.6,0.744186046511628
CoV-FISH-10_Vero_2h_B117_RDV_R3_00007__results_cell_3.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,19,15.4,15,13,2,2,2,1.2,2.4,Low,3.5999999999999996,0.23376623376623373
CoV-FISH-10_Vero_2h_B117_RDV_R3_00008__results_cell_0.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,38,7.2,24,6,2,1,7,1.2,1.2,Low,30.8,4.277777777777778
CoV-FISH-10_Vero_2h_B117_RDV_R3_00008__results_cell_1.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,32,24.2,28,23,1,1,4,1.2,1.2,Low,7.800000000000001,0.3223140495867769
CoV-FISH-10_Vero_2h_B117_RDV_R3_00008__results_cell_3.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,15,13.4,11,11,2,2,2,1.2,2.4,Low,1.5999999999999996,0.11940298507462684
CoV-FISH-10_Vero_2h_B117_RDV_R3_00008__results_cell_4.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,55,31.2,45,30,5,1,2,1.2,1.2,Low,23.8,0.7628205128205129
CoV-FISH-10_Vero_2h_B117_RDV_R3_00008__results_cell_5.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,42,36.4,35,34,3,2,2.3333333333333335,1.2,2.4,Low,5.600000000000001,0.15384615384615388
CoV-FISH-10_Vero_2h_B117_RDV_R3_00009__results_cell_2.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,34.2,34.2,30.200000000000003,33,2,1,2,1.2,1.2,Low,0,0
CoV-FISH-10_Vero_2h_B117_RDV_R3_00009__results_cell_3.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,28.4,28.4,26.4,26,1,2,2,1.2,2.4,Low,0,0
CoV-FISH-10_Vero_2h_B117_RDV_R3_00010__results_cell_3.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,31,18.2,19,17,4,1,3,1.2,1.2,Low,12.8,0.7032967032967034
CoV-FISH-10_Vero_2h_B117_RDV_R3_00010__results_cell_5.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,379,49.6,193,46,18,3,10.333333333333334,1.2,3.5999999999999996,Low,329.4,6.641129032258064
CoV-FISH-10_Vero_2h_B117_RDV_R3_00010__results_cell_7.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,51,37.2,39,36,4,1,3,1.2,1.2,Low,13.799999999999997,0.37096774193548376
CoV-FISH-10_Vero_2h_B117_RDV_R3_00010__results_cell_8.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,91,42.4,64,40,5,2,5.4,1.2,2.4,Low,48.6,1.1462264150943398
CoV-FISH-10_Vero_2h_B117_RDV_R1_00003__results_cell_0.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,106,115.52727272727273,63,108,18,6,2.388888888888889,1.2545454545454544,7.5272727272727264,Mid,-9.527272727272731,-0.08246773685867173
CoV-FISH-10_Vero_2h_B117_RDV_R2_00006__results_cell_8.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,150,86.52727272727273,110,79,11,6,3.6363636363636362,1.2545454545454544,7.5272727272727264,Low,63.47272727272727,0.7335574700567346
CoV-FISH-10_Vero_2h_B117_RDV_R1_00001__results_cell_0.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,132,107.9,78,104,18,3,3,1.2999999999999998,3.8999999999999995,Mid,24.099999999999994,0.22335495829471727
CoV-FISH-10_Vero_2h_B117_RDV_R1_00008__results_cell_4.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,111,71.9,86,68,10,3,2.5,1.2999999999999998,3.8999999999999995,Low,39.099999999999994,0.5438108484005562
CoV-FISH-10_Vero_2h_B117_RDV_R2_00003__results_cell_1.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,314,184.65217391304347,163,169,50,12,3.02,1.3043478260869563,15.652173913043477,Mid,129.34782608695653,0.7004944666823641
CoV-FISH-10_Vero_2h_B117_RDV_R1_00004__results_cell_2.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,109,153.75294117647059,74,142,15,9,2.3333333333333335,1.3058823529411763,11.752941176470586,Mid,-44.752941176470586,-0.29107047210957226
CoV-FISH-10_Vero_2h_B117_RDV_R2_00006__results_cell_6.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,187,61.96,128,58,12,3,4.916666666666667,1.32,3.96,Low,125.03999999999999,2.0180761781794705
CoV-FISH-10_Vero_2h_B117_RDV_R2_00005__results_cell_2.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,211,139,108,127,31,9,3.3225806451612905,1.3333333333333333,12,Mid,72,0.5179856115107914
CoV-FISH-10_Vero_2h_B117_RDV_R1_00004__results_cell_3.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,164,111.1,83,103,21,6,3.857142857142857,1.3499999999999999,8.1,Mid,52.900000000000006,0.4761476147614762
CoV-FISH-10_Vero_2h_B117_RDV_R1_00005__results_cell_2.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,124,61.7,90,59,12,2,2.8333333333333335,1.3499999999999999,2.6999999999999997,Low,62.3,1.0097244732576984
CoV-FISH-10_Vero_2h_B117_RDV_R1_00007__results_cell_5.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,38.7,38.7,34.7,36,2,2,2,1.3499999999999999,2.6999999999999997,Low,0,0
CoV-FISH-10_Vero_2h_B117_RDV_R1_00009__results_cell_4.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,48,35.7,36,33,5,2,2.4,1.3499999999999999,2.6999999999999997,Low,12.299999999999997,0.3445378151260503
CoV-FISH-10_Vero_2h_B117_RDV_R1_00012__results_cell_3.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,58,47.7,49,45,4,2,2.25,1.3499999999999999,2.6999999999999997,Low,10.299999999999997,0.21593291404612153
CoV-FISH-10_Vero_2h_B117_RDV_R2_00001__results_cell_1.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,84,44.7,64,42,6,2,3.3333333333333335,1.3499999999999999,2.6999999999999997,Low,39.3,0.8791946308724831
CoV-FISH-10_Vero_2h_B117_RDV_R2_00004__results_cell_0.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,162,53.7,114,51,12,2,4,1.3499999999999999,2.6999999999999997,Low,108.3,2.0167597765363126
CoV-FISH-10_Vero_2h_B117_RDV_R2_00004__results_cell_1.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,334,63.4,198,58,30,4,4.533333333333333,1.3499999999999999,5.3999999999999995,Low,270.6,4.26813880126183
CoV-FISH-10_Vero_2h_B117_RDV_R2_00010__results_cell_3.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,214,92.48571428571428,148,87,24,4,2.75,1.3714285714285712,5.485714285714285,Low,121.51428571428572,1.3138708680877358
CoV-FISH-10_Vero_2h_B117_RDV_R3_00009__results_cell_0.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,83,66.48571428571428,63,60.99999999999999,6,4,3.3333333333333335,1.3714285714285712,5.485714285714285,Low,16.51428571428572,0.24838848302535463
CoV-FISH-10_Vero_2h_B117_RDV_R1_00006__results_cell_9.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,128,90,101,83,11,5,2.4545454545454546,1.4000000000000001,7.000000000000001,Low,38,0.4222222222222222
CoV-FISH-10_Vero_2h_B117_RDV_R1_00009__results_cell_0.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,101,49.8,76,47,11,2,2.272727272727273,1.4000000000000001,2.8000000000000003,Low,51.2,1.028112449799197
CoV-FISH-10_Vero_2h_B117_RDV_R2_00002__results_cell_5.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,83,63,63,56,7,5,2.857142857142857,1.4000000000000001,7.000000000000001,Low,20,0.31746031746031744
CoV-FISH-10_Vero_2h_B117_RDV_R2_00006__results_cell_3.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,111,51.8,80,49,11,2,2.8181818181818183,1.4000000000000001,2.8000000000000003,Low,59.2,1.142857142857143
CoV-FISH-10_Vero_2h_B117_RDV_R3_00002__results_cell_3.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,42,36.8,38,34,2,2,2,1.4000000000000001,2.8000000000000003,Low,5.200000000000003,0.14130434782608706
CoV-FISH-10_Vero_2h_B117_RDV_R3_00008__results_cell_2.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,81,57.2,64,53,4,3,4.25,1.4000000000000001,4.2,Low,23.799999999999997,0.41608391608391604
CoV-FISH-10_Vero_2h_B117_RDV_R1_00001__results_cell_2.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,148,161.5090909090909,97,153,16,6,3.1875,1.4181818181818182,8.50909090909091,Mid,-13.5090909090909,-0.08364291343014743
CoV-FISH-10_Vero_2h_B117_RDV_R1_00003__results_cell_3.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,121,93.50909090909092,93,85,11,6,2.5454545454545454,1.4181818181818182,8.50909090909091,Low,27.490909090909085,0.29399183356017883
CoV-FISH-10_Vero_2h_B117_RDV_R2_00002__results_cell_1.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,339,99.7,215,94,29,4,4.275862068965517,1.425,5.7,Low,239.3,2.4002006018054165
CoV-FISH-10_Vero_2h_B117_RDV_R2_00006__results_cell_7.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,330,80.7,202,75,19,4,6.7368421052631575,1.425,5.7,Low,249.3,3.0892193308550184
CoV-FISH-10_Vero_2h_B117_RDV_R1_00012__results_cell_1.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,113,129.01538461538462,71,119,19,7,2.210526315789474,1.4307692307692308,10.015384615384615,Mid,-16.01538461538462,-0.12413546386835204
CoV-FISH-10_Vero_2h_B117_RDV_R1_00005__results_cell_3.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,85,105.2,53,98,10,5,3.2,1.44,7.199999999999999,Mid,-20.200000000000003,-0.19201520912547532
CoV-FISH-10_Vero_2h_B117_RDV_R1_00009__results_cell_3.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,92,123.02352941176471,57,110,14,9,2.5,1.4470588235294117,13.023529411764706,Mid,-31.023529411764713,-0.2521755761690734
CoV-FISH-10_Vero_2h_B117_RDV_R1_00003__results_cell_2.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,110,124.82857142857142,71,119,17,4,2.2941176470588234,1.457142857142857,5.828571428571428,Mid,-14.828571428571422,-0.1187914854657816
CoV-FISH-10_Vero_2h_B117_RDV_R1_00006__results_cell_6.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,80,61.5,60,57,6,3,3.3333333333333335,1.5,4.5,Low,18.5,0.3008130081300813
CoV-FISH-10_Vero_2h_B117_RDV_R1_00008__results_cell_1.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,23.5,23.5,21.5,22,1,1,2,1.5,1.5,Low,0,0
CoV-FISH-10_Vero_2h_B117_RDV_R1_00008__results_cell_3.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R1,122,49.5,79,45,14,3,3.0714285714285716,1.5,4.5,Low,72.5,1.4646464646464648
CoV-FISH-10_Vero_2h_B117_RDV_R2_00001__results_cell_2.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,47,26.5,34,25,4,1,3.25,1.5,1.5,Low,20.5,0.7735849056603774
CoV-FISH-10_Vero_2h_B117_RDV_R2_00001__results_cell_3.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,12,11.5,10,10,1,1,2,1.5,1.5,Low,0.5,0.043478260869565216
CoV-FISH-10_Vero_2h_B117_RDV_R2_00002__results_cell_4.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,178,82.5,129,75,10,5,4.9,1.5,7.5,Low,95.5,1.1575757575757575
CoV-FISH-10_Vero_2h_B117_RDV_R2_00003__results_cell_2.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,166,89,116,80,11,6,4.545454545454546,1.5,9,Low,77,0.8651685393258427
CoV-FISH-10_Vero_2h_B117_RDV_R2_00005__results_cell_3.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R2,170,48.5,111,44,13,3,4.538461538461538,1.5,4.5,Low,121.5,2.5051546391752577
CoV-FISH-10_Vero_2h_B117_RDV_R3_00007__results_cell_5.npz,2hpi_RDV_B.1.1.7,2hpi,B.1.1.7,RDV,R3,42,39.5,37,38,2,1,2.5,1.5,1.5,Low,2.5,0.06329113924050633
