cell_id,time.adj,dsRNA_density,condition,repeat_exp
INF_0h_204_C4_outline_TS_detect_AUTO_350.txt_Cell_9,2,1.618393772,INF,R3
INF_0h_205_C4_outline_TS_detect_AUTO_350.txt_Cell_1,2,1.367497671,INF,R3
INF_0h_205_C4_outline_TS_detect_AUTO_350.txt_Cell_10,2,0.700508197,INF,R3
INF_0h_205_C4_outline_TS_detect_AUTO_350.txt_Cell_11,2,0.658775836,INF,R3
INF_0h_205_C4_outline_TS_detect_AUTO_350.txt_Cell_12,2,1.710512083,INF,R3
INF_0h_205_C4_outline_TS_detect_AUTO_350.txt_Cell_13,2,1.39885986,INF,R3
INF_0h_205_C4_outline_TS_detect_AUTO_350.txt_Cell_14,2,1.07637065,INF,R3
INF_0h_205_C4_outline_TS_detect_AUTO_350.txt_Cell_15,2,0.856325899,INF,R3
INF_0h_205_C4_outline_TS_detect_AUTO_350.txt_Cell_2,2,0.401951177,INF,R3
INF_0h_205_C4_outline_TS_detect_AUTO_350.txt_Cell_3,2,0.495262963,INF,R3
INF_0h_205_C4_outline_TS_detect_AUTO_350.txt_Cell_4,2,0.554154579,INF,R3
INF_0h_205_C4_outline_TS_detect_AUTO_350.txt_Cell_5,2,0.799014358,INF,R3
INF_0h_205_C4_outline_TS_detect_AUTO_350.txt_Cell_6,2,0.84477647,INF,R3
INF_0h_205_C4_outline_TS_detect_AUTO_350.txt_Cell_9,2,0.922476712,INF,R3
INF_0h_206_C4_outline_TS_detect_AUTO_350.txt_Cell_1,2,1.371829853,INF,R3
INF_0h_206_C4_outline_TS_detect_AUTO_350.txt_Cell_10,2,0.737526496,INF,R3
INF_0h_206_C4_outline_TS_detect_AUTO_350.txt_Cell_11,2,0.946858141,INF,R3
INF_0h_206_C4_outline_TS_detect_AUTO_350.txt_Cell_12,2,0.544022642,INF,R3
INF_0h_206_C4_outline_TS_detect_AUTO_350.txt_Cell_13,2,1.571915731,INF,R3
INF_0h_206_C4_outline_TS_detect_AUTO_350.txt_Cell_14,2,0.864971623,INF,R3
INF_0h_206_C4_outline_TS_detect_AUTO_350.txt_Cell_2,2,0.535733747,INF,R3
INF_0h_206_C4_outline_TS_detect_AUTO_350.txt_Cell_3,2,0.958437965,INF,R3
INF_0h_206_C4_outline_TS_detect_AUTO_350.txt_Cell_4,2,1.764063287,INF,R3
INF_0h_206_C4_outline_TS_detect_AUTO_350.txt_Cell_5,2,1.524858527,INF,R3
INF_0h_206_C4_outline_TS_detect_AUTO_350.txt_Cell_6,2,1.065513897,INF,R3
INF_0h_206_C4_outline_TS_detect_AUTO_350.txt_Cell_7,2,1.280622795,INF,R3
INF_0h_206_C4_outline_TS_detect_AUTO_350.txt_Cell_8,2,0.900564095,INF,R3
INF_0h_206_C4_outline_TS_detect_AUTO_350.txt_Cell_9,2,0.497305792,INF,R3
INF_4h_213_C4_outline_TS_detect_AUTO_350.txt_Cell_1,6,1.06116046,INF,R1
INF_4h_213_C4_outline_TS_detect_AUTO_350.txt_Cell_10,6,1.278436978,INF,R1
INF_4h_213_C4_outline_TS_detect_AUTO_350.txt_Cell_11,6,0.95368719,INF,R1
INF_4h_213_C4_outline_TS_detect_AUTO_350.txt_Cell_12,6,1.726967832,INF,R1
INF_4h_213_C4_outline_TS_detect_AUTO_350.txt_Cell_13,6,0.59879094,INF,R1
INF_4h_213_C4_outline_TS_detect_AUTO_350.txt_Cell_14,6,0.524485626,INF,R1
INF_4h_213_C4_outline_TS_detect_AUTO_350.txt_Cell_15,6,1.696767027,INF,R1
INF_4h_213_C4_outline_TS_detect_AUTO_350.txt_Cell_2,6,1.17295201,INF,R1
INF_4h_213_C4_outline_TS_detect_AUTO_350.txt_Cell_3,6,0.764573882,INF,R1
INF_4h_213_C4_outline_TS_detect_AUTO_350.txt_Cell_4,6,0.974925109,INF,R1
