cell_id,time.adj,dsRNA_density,condition,repeat_exp
MOCK_0h_Cell_48,2,0.796148964,MOCK,R1
MOCK_0h_Cell_49,2,0.69752293,MOCK,R1
MOCK_0h_Cell_50,2,1.125605268,MOCK,R1
MOCK_0h_Cell_51,2,1.283780891,MOCK,R1
MOCK_0h_Cell_52,2,1.644639067,MOCK,R1
MOCK_0h_Cell_53,2,0.6953686,MOCK,R1
MOCK_0h_Cell_54,2,0.65146414,MOCK,R1
MOCK_0h_Cell_55,2,0.598352307,MOCK,R1
MOCK_0h_Cell_56,2,1.044657224,MOCK,R1
MOCK_0h_Cell_57,2,0.629690477,MOCK,R1
MOCK_0h_Cell_58,2,0.695249078,MOCK,R1
MOCK_0h_Cell_59,2,0.787255833,MOCK,R1
MOCK_0h_Cell_60,2,1.365881637,MOCK,R1
MOCK_0h_Cell_61,2,1.104012536,MOCK,R1
MOCK_4h_Cell_01,6,1.249254957,MOCK,R2
MOCK_4h_Cell_02,6,0.936638185,MOCK,R2
MOCK_4h_Cell_03,6,0.92111293,MOCK,R2
MOCK_4h_Cell_04,6,1.640210304,MOCK,R2
MOCK_4h_Cell_05,6,1.427230113,MOCK,R2
MOCK_4h_Cell_06,6,1.699111249,MOCK,R2
MOCK_4h_Cell_07,6,0.738476586,MOCK,R2
MOCK_4h_Cell_08,6,0.751861645,MOCK,R2
MOCK_4h_Cell_09,6,1.350771861,MOCK,R2
MOCK_4h_Cell_10,6,0.697694985,MOCK,R2
MOCK_4h_Cell_11,6,0.734155999,MOCK,R2
MOCK_4h_Cell_12,6,0.73766448,MOCK,R2
MOCK_4h_Cell_13,6,1.608889731,MOCK,R2
MOCK_4h_Cell_14,6,2.096165138,MOCK,R2
MOCK_4h_Cell_15,6,1.480246461,MOCK,R2
MOCK_4h_Cell_16,6,1.309842731,MOCK,R2
MOCK_4h_Cell_17,6,1.007472227,MOCK,R2
MOCK_4h_Cell_18,6,0.971107884,MOCK,R2
MOCK_4h_Cell_19,6,1.455577352,MOCK,R2
MOCK_4h_Cell_20,6,1.690539585,MOCK,R2
MOCK_4h_Cell_21,6,1.550451033,MOCK,R2
MOCK_4h_Cell_22,6,1.518314823,MOCK,R2
MOCK_4h_Cell_23,6,1.175621369,MOCK,R2
MOCK_4h_Cell_24,6,0.894001289,MOCK,R2
MOCK_4h_Cell_25,6,0.749927884,MOCK,R2
MOCK_4h_Cell_26,6,1.168155564,MOCK,R2
MOCK_4h_Cell_27,6,1.532609223,MOCK,R2
MOCK_4h_Cell_28,6,1.425973948,MOCK,R2
MOCK_4h_Cell_29,6,0.713267765,MOCK,R2
MOCK_4h_Cell_30,6,1.299405283,MOCK,R2
MOCK_4h_Cell_31,6,1.921739622,MOCK,R3
MOCK_4h_Cell_32,6,2.372163001,MOCK,R3
MOCK_4h_Cell_33,6,0.60682249,MOCK,R3
MOCK_4h_Cell_34,6,0.591053793,MOCK,R3
MOCK_4h_Cell_35,6,0.58197106,MOCK,R3
MOCK_4h_Cell_36,6,0.553811281,MOCK,R3
MOCK_4h_Cell_37,6,0.756010308,MOCK,R3
MOCK_4h_Cell_38,6,0.433821149,MOCK,R3
MOCK_4h_Cell_39,6,0.878412502,MOCK,R3
MOCK_4h_Cell_40,6,0.677842089,MOCK,R3
MOCK_4h_Cell_41,6,0.777080215,MOCK,R3
MOCK_4h_Cell_42,6,0.657321135,MOCK,R3
MOCK_4h_Cell_43,6,0.725534902,MOCK,R3
MOCK_4h_Cell_44,6,0.55015243,MOCK,R3
MOCK_4h_Cell_45,6,1.199976184,MOCK,R3
MOCK_4h_Cell_46,6,1.080273375,MOCK,R3
MOCK_4h_Cell_47,6,1.52824107,MOCK,R3
MOCK_4h_Cell_48,6,1.383698408,MOCK,R3
MOCK_4h_Cell_49,6,0.733917662,MOCK,R3
MOCK_4h_Cell_50,6,0.753838506,MOCK,R3
MOCK_4h_Cell_51,6,0.845035226,MOCK,R3
MOCK_4h_Cell_52,6,1.230069305,MOCK,R3
MOCK_4h_Cell_53,6,0.698808409,MOCK,R3
MOCK_4h_Cell_54,6,0.50343387,MOCK,R3
MOCK_4h_Cell_55,6,0.59141119,MOCK,R3
MOCK_4h_Cell_56,6,0.655025677,MOCK,R3
MOCK_4h_Cell_57,6,0.541515617,MOCK,R3
MOCK_4h_Cell_58,6,0.60491393,MOCK,R3
MOCK_4h_Cell_59,6,0.671554011,MOCK,R3
MOCK_4h_Cell_60,6,0.615849058,MOCK,R3
MOCK_4h_Cell_61,6,0.75703605,MOCK,R3
MOCK_4h_Cell_62,6,0.470042726,MOCK,R3
MOCK_4h_Cell_63,6,0.935429246,MOCK,R3
MOCK_4h_Cell_64,6,0.74601072,MOCK,R3
MOCK_4h_Cell_65,6,0.87788096,MOCK,R3
MOCK_4h_Cell_66,6,0.48559504,MOCK,R3
MOCK_4h_Cell_67,6,0.603569366,MOCK,R3
MOCK_4h_Cell_68,6,1.308931543,MOCK,R3
MOCK_4h_Cell_69,6,1.627047288,MOCK,R3
