cell_id,total_count,condition,time.adj
INF_6h_190_C4_outline_TS_detect_AUTO_350.txt_Cell_3,65.30667,INF,8
INF_6h_193_C4_outline_TS_detect_AUTO_350.txt_Cell_13,241.13735,INF,8
INF_6h_193_C4_outline_TS_detect_AUTO_350.txt_Cell_5,200.58486,INF,8
INF_6h_190_C4_outline_TS_detect_AUTO_350.txt_Cell_14,79.221,INF,8
INF_6h_200_C4_outline_TS_detect_AUTO_350.txt_Cell_6,52.01118,INF,8
INF_6h_190_C4_outline_TS_detect_AUTO_350.txt_Cell_5,53.30979,INF,8
INF_6h_192_C4_outline_TS_detect_AUTO_350.txt_Cell_14,90.35628,INF,8
INF_6h_195_C4_outline_TS_detect_AUTO_350.txt_Cell_10,32.68223,INF,8
INF_6h_196_C4_outline_TS_detect_AUTO_350.txt_Cell_4,201.59504,INF,8
INF_6h_194_C4_outline_TS_detect_AUTO_350.txt_Cell_11,266.35102,INF,8
INF_6h_196_C4_outline_TS_detect_AUTO_350.txt_Cell_10,109.81218,INF,8
INF_6h_193_C4_outline_TS_detect_AUTO_350.txt_Cell_10,129.86781,INF,8
INF_6h_195_C4_outline_TS_detect_AUTO_350.txt_Cell_7,35.94407,INF,8
INF_6h_190_C4_outline_TS_detect_AUTO_350.txt_Cell_1,123.43094,INF,8
INF_6h_197_C4_outline_TS_detect_AUTO_350.txt_Cell_9,64.9072,INF,8
INF_6h_195_C4_outline_TS_detect_AUTO_350.txt_Cell_5,43.72585,INF,8
INF_6h_197_C4_outline_TS_detect_AUTO_350.txt_Cell_4,33,INF,8
INF_6h_192_C4_outline_TS_detect_AUTO_350.txt_Cell_13,142.38084,INF,8
INF_6h_196_C4_outline_TS_detect_AUTO_350.txt_Cell_3,44.67394,INF,8
INF_6h_190_C4_outline_TS_detect_AUTO_350.txt_Cell_2,103.14213,INF,8
MOCK_6h_Cell_63,0,MOCK,8
INF_6h_194_C4_outline_TS_detect_AUTO_350.txt_Cell_16,109.25549,INF,8
MOCK_6h_Cell_60,0,MOCK,8
INF_6h_199_C4_outline_TS_detect_AUTO_350.txt_Cell_5,9.3574,INF,8
INF_6h_193_C4_outline_TS_detect_AUTO_350.txt_Cell_11,183.55231,INF,8
INF_6h_194_C4_outline_TS_detect_AUTO_350.txt_Cell_18,289.41965,INF,8
INF_6h_191_C4_outline_TS_detect_AUTO_350.txt_Cell_3,126.88266,INF,8
INF_6h_200_C4_outline_TS_detect_AUTO_350.txt_Cell_8,42.31826,INF,8
INF_6h_199_C4_outline_TS_detect_AUTO_350.txt_Cell_6,37.8281,INF,8
INF_6h_199_C4_outline_TS_detect_AUTO_350.txt_Cell_3,36.82026,INF,8
MOCK_6h_Cell_52,0,MOCK,8
INF_6h_193_C4_outline_TS_detect_AUTO_350.txt_Cell_8,151.71108,INF,8
INF_6h_191_C4_outline_TS_detect_AUTO_350.txt_Cell_7,36.81832,INF,8
INF_6h_192_C4_outline_TS_detect_AUTO_350.txt_Cell_8,74.86694,INF,8
MOCK_6h_Cell_49,0,MOCK,8
INF_6h_195_C4_outline_TS_detect_AUTO_350.txt_Cell_11,34.64704,INF,8
INF_6h_199_C4_outline_TS_detect_AUTO_350.txt_Cell_10,175.39628,INF,8
INF_6h_193_C4_outline_TS_detect_AUTO_350.txt_Cell_4,76.46135,INF,8
INF_6h_194_C4_outline_TS_detect_AUTO_350.txt_Cell_8,114.51081,INF,8
INF_6h_200_C4_outline_TS_detect_AUTO_350.txt_Cell_2,132.6322,INF,8
MOCK_6h_Cell_51,0,MOCK,8
INF_6h_193_C4_outline_TS_detect_AUTO_350.txt_Cell_7,1202.28931,INF,8
INF_6h_197_C4_outline_TS_detect_AUTO_350.txt_Cell_15,106.24306,INF,8
INF_6h_191_C4_outline_TS_detect_AUTO_350.txt_Cell_2,154.5661,INF,8
INF_6h_190_C4_outline_TS_detect_AUTO_350.txt_Cell_4,61.51365,INF,8
MOCK_6h_Cell_37,0,MOCK,8
INF_6h_191_C4_outline_TS_detect_AUTO_350.txt_Cell_6,36.51298,INF,8
INF_6h_193_C4_outline_TS_detect_AUTO_350.txt_Cell_6,161.04117,INF,8
MOCK_6h_Cell_57,0,MOCK,8
INF_6h_192_C4_outline_TS_detect_AUTO_350.txt_Cell_11,118.63142,INF,8
MOCK_6h_Cell_59,0,MOCK,8
INF_6h_200_C4_outline_TS_detect_AUTO_350.txt_Cell_1,144.50421,INF,8
INF_6h_196_C4_outline_TS_detect_AUTO_350.txt_Cell_1,158.09197,INF,8
